"site","channel","audit_schema","contract_id","contract_version","product","source_release","release_doi","source_receipt_id","raw_source_digest","source_normalization","n_plot_event_contexts","n_published_opportunity_keys","n_opportunity_source_records","n_measurement_only_contexts","n_measurement_records_without_opportunity_source","n_channel_measurement_only_contexts_with_records","n_channel_measurement_records_without_opportunity_source","n_opportunity_key_conflict_groups","n_supported_contexts","n_explicit_absences","n_held_contexts","n_sampled_with_records","n_sampled_absence","n_held_sampling_impractical","n_held_dendrometer_only","n_held_missing_area","n_held_opportunity_unknown","n_held_presence_record_conflict","n_held_metric_invalid","n_held_identity_conflict","n_held_opportunity_source_missing","held_reason_counts","n_measurement_records","n_live_measurement_records","n_invalid_metric_records","n_protocol_identity_conflict_keys","n_protocol_identity_conflict_records","n_nonblank_dataqf_records","dataqf_value_counts","dataqf_handling","n_nonblank_tag_status_records","n_non_ok_tag_status_records","non_ok_tag_status_value_counts","n_nonblank_changed_measurement_location_records","n_changed_measurement_location_records","changed_measurement_location_value_counts"
"ABBY","tree_dbh","NEON-VST-data-quality-audit-v2","NEON-VST-DP1.10098.001-v2",2,"DP1.10098.001","RELEASE-2026","https://doi.org/10.48443/pypa-qf12","VST-DP1.10098.001-RELEASE-2026-sha256-e8d78dd776fa4188c3f237548b7d2ab185eb5c03bc7b220991d03753ebca3e29","e8d78dd776fa4188c3f237548b7d2ab185eb5c03bc7b220991d03753ebca3e29","portable-vectors+published-uid-byte-order-v1",155,155,155,0,0,0,0,0,35,0,120,35,0,3,0,0,102,0,15,0,0,"[{""status"":""held_metric_invalid"",""reason"":""1 live channel record lacks a finite positive threshold-compatible diameter"",""count"":12},{""status"":""held_metric_invalid"",""reason"":""2 live channel records lack a finite positive threshold-compatible diameter"",""count"":2},{""status"":""held_metric_invalid"",""reason"":""6 live channel records lack a finite positive threshold-compatible diameter"",""count"":1},{""status"":""held_opportunity_unknown"",""reason"":""samplingImpractical is missing"",""count"":102},{""status"":""held_sampling_impractical"",""reason"":""samplingImpractical=logistical"",""count"":3}]",3278,2974,38,0,0,520,"[{""value"":""legacyData"",""count"":520}]","preserved_and_counted_not_excluded",3268,23,"[{""value"":""removed"",""count"":8},{""value"":""replaced"",""count"":15}]",2026,30,"[{""value"":""boleChange"",""count"":8},{""value"":""branchGrowth"",""count"":8},{""value"":""deformityGrowth"",""count"":1},{""value"":""newRootingPoint"",""count"":1},{""value"":""protocolChange"",""count"":12}]"
"ABBY","shrub_sapling_basal","NEON-VST-data-quality-audit-v2","NEON-VST-DP1.10098.001-v2",2,"DP1.10098.001","RELEASE-2026","https://doi.org/10.48443/pypa-qf12","VST-DP1.10098.001-RELEASE-2026-sha256-e8d78dd776fa4188c3f237548b7d2ab185eb5c03bc7b220991d03753ebca3e29","e8d78dd776fa4188c3f237548b7d2ab185eb5c03bc7b220991d03753ebca3e29","portable-vectors+published-uid-byte-order-v1",155,155,155,0,0,0,0,0,42,0,113,42,0,3,0,0,102,0,1,7,0,"[{""status"":""held_identity_conflict"",""reason"":""1 channel stem locator violates plotID + eventID + individualID + tempStemID uniqueness"",""count"":7},{""status"":""held_metric_invalid"",""reason"":""1 live channel record lacks a finite positive threshold-compatible diameter"",""count"":1},{""status"":""held_opportunity_unknown"",""reason"":""samplingImpractical is missing"",""count"":102},{""status"":""held_sampling_impractical"",""reason"":""samplingImpractical=logistical"",""count"":3}]",7146,6594,242,7,11,2749,"[{""value"":""legacyData"",""count"":2749}]","preserved_and_counted_not_excluded",7116,31,"[{""value"":""mislabeled"",""count"":1},{""value"":""notRequired"",""count"":1},{""value"":""removed"",""count"":4},{""value"":""replaced"",""count"":10},{""value"":""tagRemoved"",""count"":13},{""value"":""unknown"",""count"":2}]",2057,8,"[{""value"":""boleChange"",""count"":2},{""value"":""damage"",""count"":3},{""value"":""deformityGrowth"",""count"":2},{""value"":""newRootingPoint"",""count"":1}]"
"BART","tree_dbh","NEON-VST-data-quality-audit-v2","NEON-VST-DP1.10098.001-v2",2,"DP1.10098.001","RELEASE-2026","https://doi.org/10.48443/pypa-qf12","VST-DP1.10098.001-RELEASE-2026-sha256-e8d78dd776fa4188c3f237548b7d2ab185eb5c03bc7b220991d03753ebca3e29","e8d78dd776fa4188c3f237548b7d2ab185eb5c03bc7b220991d03753ebca3e29","portable-vectors+published-uid-byte-order-v1",184,184,184,0,0,0,0,0,32,0,152,32,0,0,0,0,125,3,24,0,0,"[{""status"":""held_metric_invalid"",""reason"":""1 live channel record lacks a finite positive threshold-compatible diameter"",""count"":11},{""status"":""held_metric_invalid"",""reason"":""2 live channel records lack a finite positive threshold-compatible diameter"",""count"":11},{""status"":""held_metric_invalid"",""reason"":""3 live channel records lack a finite positive threshold-compatible diameter"",""count"":1},{""status"":""held_metric_invalid"",""reason"":""5 live channel records lack a finite positive threshold-compatible diameter"",""count"":1},{""status"":""held_opportunity_unknown"",""reason"":""samplingImpractical is missing"",""count"":125},{""status"":""held_presence_record_conflict"",""reason"":""presence says sampled/present but no measurement records exist"",""count"":3}]",9832,8750,133,3,4,4410,"[{""value"":""legacyData"",""count"":4404},{""value"":""legacyData | noMapTagData"",""count"":6}]","preserved_and_counted_not_excluded",9784,30,"[{""value"":""removed"",""count"":2},{""value"":""replaced"",""count"":26},{""value"":""tagRemoved"",""count"":1},{""value"":""unknown"",""count"":1}]",2950,26,"[{""value"":""boleChange"",""count"":2},{""value"":""branchGrowth"",""count"":3},{""value"":""damage"",""count"":2},{""value"":""deformityGrowth"",""count"":2},{""value"":""protocolChange"",""count"":17}]"
"BART","shrub_sapling_basal","NEON-VST-data-quality-audit-v2","NEON-VST-DP1.10098.001-v2",2,"DP1.10098.001","RELEASE-2026","https://doi.org/10.48443/pypa-qf12","VST-DP1.10098.001-RELEASE-2026-sha256-e8d78dd776fa4188c3f237548b7d2ab185eb5c03bc7b220991d03753ebca3e29","e8d78dd776fa4188c3f237548b7d2ab185eb5c03bc7b220991d03753ebca3e29","portable-vectors+published-uid-byte-order-v1",184,184,184,0,0,0,0,0,54,0,130,54,0,0,0,0,125,4,0,1,0,"[{""status"":""held_identity_conflict"",""reason"":""1 channel stem locator violates plotID + eventID + individualID + tempStemID uniqueness"",""count"":1},{""status"":""held_opportunity_unknown"",""reason"":""samplingImpractical is missing"",""count"":125},{""status"":""held_presence_record_conflict"",""reason"":""presence says sampled/present but no measurement records exist"",""count"":4}]",6661,6235,28,3,3,3093,"[{""value"":""legacyData"",""count"":3093}]","preserved_and_counted_not_excluded",6637,37,"[{""value"":""removed"",""count"":2},{""value"":""replaced"",""count"":28},{""value"":""tagRemoved"",""count"":6},{""value"":""untagged"",""count"":1}]",1730,6,"[{""value"":""damage"",""count"":4},{""value"":""deformityGrowth"",""count"":1},{""value"":""protocolChange"",""count"":1}]"
"BLAN","tree_dbh","NEON-VST-data-quality-audit-v2","NEON-VST-DP1.10098.001-v2",2,"DP1.10098.001","RELEASE-2026","https://doi.org/10.48443/pypa-qf12","VST-DP1.10098.001-RELEASE-2026-sha256-e8d78dd776fa4188c3f237548b7d2ab185eb5c03bc7b220991d03753ebca3e29","e8d78dd776fa4188c3f237548b7d2ab185eb5c03bc7b220991d03753ebca3e29","portable-vectors+published-uid-byte-order-v1",233,233,235,0,0,0,0,2,40,3,193,37,3,0,0,0,189,0,2,2,0,"[{""status"":""held_identity_conflict"",""reason"":""multiple published vst_perplotperyear rows share this plot-event key"",""count"":2},{""status"":""held_metric_invalid"",""reason"":""2 live channel records lack a finite positive threshold-compatible diameter"",""count"":1},{""status"":""held_metric_invalid"",""reason"":""8 live channel records lack a finite positive threshold-compatible diameter"",""count"":1},{""status"":""held_opportunity_unknown"",""reason"":""dataCollected is missing"",""count"":18},{""status"":""held_opportunity_unknown"",""reason"":""no records and presence does not establish sampled absence"",""count"":28},{""status"":""held_opportunity_unknown"",""reason"":""samplingImpractical is missing"",""count"":143}]",1076,1018,29,1,2,364,"[{""value"":""legacyData"",""count"":361},{""value"":""legacyData | noMapTagData"",""count"":3}]","preserved_and_counted_not_excluded",1076,1,"[{""value"":""replaced"",""count"":1}]",433,1,"[{""value"":""deformityGrowth"",""count"":1}]"
"BLAN","shrub_sapling_basal","NEON-VST-data-quality-audit-v2","NEON-VST-DP1.10098.001-v2",2,"DP1.10098.001","RELEASE-2026","https://doi.org/10.48443/pypa-qf12","VST-DP1.10098.001-RELEASE-2026-sha256-e8d78dd776fa4188c3f237548b7d2ab185eb5c03bc7b220991d03753ebca3e29","e8d78dd776fa4188c3f237548b7d2ab185eb5c03bc7b220991d03753ebca3e29","portable-vectors+published-uid-byte-order-v1",233,233,235,0,0,0,0,2,35,0,198,35,0,0,0,0,189,0,6,3,0,"[{""status"":""held_identity_conflict"",""reason"":""1 channel stem locator violates plotID + eventID + individualID + tempStemID uniqueness"",""count"":1},{""status"":""held_identity_conflict"",""reason"":""multiple published vst_perplotperyear rows share this plot-event key"",""count"":2},{""status"":""held_metric_invalid"",""reason"":""1 live channel record lacks a finite positive threshold-compatible diameter"",""count"":5},{""status"":""held_metric_invalid"",""reason"":""3 live channel records lack a finite positive threshold-compatible diameter"",""count"":1},{""status"":""held_opportunity_unknown"",""reason"":""dataCollected is missing"",""count"":18},{""status"":""held_opportunity_unknown"",""reason"":""no records and presence does not establish sampled absence"",""count"":28},{""status"":""held_opportunity_unknown"",""reason"":""samplingImpractical is missing"",""count"":143}]",7330,5930,30,1,2,2636,"[{""value"":""legacyData"",""count"":2635},{""value"":""legacyData | noMapTagData"",""count"":1}]","preserved_and_counted_not_excluded",7324,10,"[{""value"":""removed"",""count"":3},{""value"":""replaced"",""count"":7}]",3112,46,"[{""value"":""boleChange"",""count"":24},{""value"":""branchGrowth"",""count"":18},{""value"":""damage"",""count"":2},{""value"":""deformityGrowth"",""count"":2}]"
"BONA","tree_dbh","NEON-VST-data-quality-audit-v2","NEON-VST-DP1.10098.001-v2",2,"DP1.10098.001","RELEASE-2026","https://doi.org/10.48443/pypa-qf12","VST-DP1.10098.001-RELEASE-2026-sha256-e8d78dd776fa4188c3f237548b7d2ab185eb5c03bc7b220991d03753ebca3e29","e8d78dd776fa4188c3f237548b7d2ab185eb5c03bc7b220991d03753ebca3e29","portable-vectors+published-uid-byte-order-v1",149,149,149,0,0,0,0,0,39,2,110,37,2,19,33,0,34,3,19,2,0,"[{""status"":""held_dendrometer_only"",""reason"":""dataCollected=dendrometerOnly cannot scale a plot response"",""count"":33},{""status"":""held_identity_conflict"",""reason"":""1 channel stem locator violates plotID + eventID + individualID + tempStemID uniqueness"",""count"":2},{""status"":""held_metric_invalid"",""reason"":""1 live channel record lacks a finite positive threshold-compatible diameter"",""count"":8},{""status"":""held_metric_invalid"",""reason"":""2 live channel records lack a finite positive threshold-compatible diameter"",""count"":2},{""status"":""held_metric_invalid"",""reason"":""4 live channel records lack a finite positive threshold-compatible diameter"",""count"":1},{""status"":""held_metric_invalid"",""reason"":""5 live channel records lack a finite positive threshold-compatible diameter"",""count"":2},{""status"":""held_metric_invalid"",""reason"":""6 live channel records lack a finite positive threshold-compatible diameter"",""count"":1},{""status"":""held_metric_invalid"",""reason"":""7 live channel records lack a finite positive threshold-compatible diameter"",""count"":4},{""status"":""held_metric_invalid"",""reason"":""8 live channel records lack a finite positive threshold-compatible diameter"",""count"":1},{""status"":""held_opportunity_unknown"",""reason"":""dataCollected is missing"",""count"":21},{""status"":""held_opportunity_unknown"",""reason"":""samplingImpractical is missing"",""count"":13},{""status"":""held_presence_record_conflict"",""reason"":""presence says sampled/present but no measurement records exist"",""count"":3},{""status"":""held_sampling_impractical"",""reason"":""samplingImpractical=logistical"",""count"":19}]",5509,4317,158,118,233,2691,"[{""value"":""legacyData"",""count"":1583},{""value"":""legacyData | noMapTagData"",""count"":1108}]","preserved_and_counted_not_excluded",5491,1,"[{""value"":""tagRemoved"",""count"":1}]",2772,18,"[{""value"":""boleChange"",""count"":1},{""value"":""branchGrowth"",""count"":2},{""value"":""damage"",""count"":5},{""value"":""deformityGrowth"",""count"":7},{""value"":""protocolChange"",""count"":3}]"
"BONA","shrub_sapling_basal","NEON-VST-data-quality-audit-v2","NEON-VST-DP1.10098.001-v2",2,"DP1.10098.001","RELEASE-2026","https://doi.org/10.48443/pypa-qf12","VST-DP1.10098.001-RELEASE-2026-sha256-e8d78dd776fa4188c3f237548b7d2ab185eb5c03bc7b220991d03753ebca3e29","e8d78dd776fa4188c3f237548b7d2ab185eb5c03bc7b220991d03753ebca3e29","portable-vectors+published-uid-byte-order-v1",149,149,149,0,0,0,0,0,56,0,93,56,0,19,33,0,34,2,0,5,0,"[{""status"":""held_dendrometer_only"",""reason"":""dataCollected=dendrometerOnly cannot scale a plot response"",""count"":33},{""status"":""held_identity_conflict"",""reason"":""1 channel stem locator violates plotID + eventID + individualID + tempStemID uniqueness"",""count"":5},{""status"":""held_opportunity_unknown"",""reason"":""dataCollected is missing"",""count"":21},{""status"":""held_opportunity_unknown"",""reason"":""samplingImpractical is missing"",""count"":13},{""status"":""held_presence_record_conflict"",""reason"":""presence says sampled/present but no measurement records exist"",""count"":2},{""status"":""held_sampling_impractical"",""reason"":""samplingImpractical=logistical"",""count"":19}]",4749,3928,457,109,308,2002,"[{""value"":""legacyData"",""count"":1364},{""value"":""legacyData | noMapTagData"",""count"":638}]","preserved_and_counted_not_excluded",4743,0,"[]",2746,117,"[{""value"":""boleChange"",""count"":9},{""value"":""branchGrowth"",""count"":7},{""value"":""damage"",""count"":3},{""value"":""deformityGrowth"",""count"":5},{""value"":""newRootingPoint"",""count"":20},{""value"":""protocolChange"",""count"":73}]"
"CLBJ","tree_dbh","NEON-VST-data-quality-audit-v2","NEON-VST-DP1.10098.001-v2",2,"DP1.10098.001","RELEASE-2026","https://doi.org/10.48443/pypa-qf12","VST-DP1.10098.001-RELEASE-2026-sha256-e8d78dd776fa4188c3f237548b7d2ab185eb5c03bc7b220991d03753ebca3e29","e8d78dd776fa4188c3f237548b7d2ab185eb5c03bc7b220991d03753ebca3e29","portable-vectors+published-uid-byte-order-v1",187,186,186,1,2,0,0,0,28,3,159,25,3,10,0,0,137,0,11,0,1,"[{""status"":""held_metric_invalid"",""reason"":""1 live channel record lacks a finite positive threshold-compatible diameter"",""count"":3},{""status"":""held_metric_invalid"",""reason"":""2 live channel records lack a finite positive threshold-compatible diameter"",""count"":4},{""status"":""held_metric_invalid"",""reason"":""4 live channel records lack a finite positive threshold-compatible diameter"",""count"":1},{""status"":""held_metric_invalid"",""reason"":""5 live channel records lack a finite positive threshold-compatible diameter"",""count"":3},{""status"":""held_opportunity_source_missing"",""reason"":""no published vst_perplotperyear row for this plotID + eventID; sampling effort, absence, and sampled area are unknown"",""count"":1},{""status"":""held_opportunity_unknown"",""reason"":""no records and presence does not establish sampled absence"",""count"":2},{""status"":""held_opportunity_unknown"",""reason"":""samplingImpractical is missing"",""count"":135},{""status"":""held_sampling_impractical"",""reason"":""samplingImpractical=logistical"",""count"":10}]",2262,1954,83,0,0,1018,"[{""value"":""legacyData"",""count"":1008},{""value"":""legacyData | noMapTagData"",""count"":10}]","preserved_and_counted_not_excluded",2262,57,"[{""value"":""mislabeled"",""count"":4},{""value"":""replaced"",""count"":37},{""value"":""unknown"",""count"":16}]",479,8,"[{""value"":""boleChange"",""count"":5},{""value"":""branchGrowth"",""count"":3}]"
"CLBJ","shrub_sapling_basal","NEON-VST-data-quality-audit-v2","NEON-VST-DP1.10098.001-v2",2,"DP1.10098.001","RELEASE-2026","https://doi.org/10.48443/pypa-qf12","VST-DP1.10098.001-RELEASE-2026-sha256-e8d78dd776fa4188c3f237548b7d2ab185eb5c03bc7b220991d03753ebca3e29","e8d78dd776fa4188c3f237548b7d2ab185eb5c03bc7b220991d03753ebca3e29","portable-vectors+published-uid-byte-order-v1",187,186,186,1,2,1,2,0,35,0,152,35,0,10,0,0,137,0,0,4,1,"[{""status"":""held_identity_conflict"",""reason"":""1 channel stem locator violates plotID + eventID + individualID + tempStemID uniqueness"",""count"":3},{""status"":""held_identity_conflict"",""reason"":""2 channel stem locators violate plotID + eventID + individualID + tempStemID uniqueness"",""count"":1},{""status"":""held_opportunity_source_missing"",""reason"":""no published vst_perplotperyear row for this plotID + eventID; sampling effort, absence, and sampled area are unknown"",""count"":1},{""status"":""held_opportunity_unknown"",""reason"":""no records and presence does not establish sampled absence"",""count"":2},{""status"":""held_opportunity_unknown"",""reason"":""samplingImpractical is missing"",""count"":135},{""status"":""held_sampling_impractical"",""reason"":""samplingImpractical=logistical"",""count"":10}]",3613,3074,36,5,9,1607,"[{""value"":""legacyData"",""count"":1605},{""value"":""legacyData | noMapTagData"",""count"":2}]","preserved_and_counted_not_excluded",3608,163,"[{""value"":""removed"",""count"":8},{""value"":""replaced"",""count"":8},{""value"":""tagRemoved"",""count"":1},{""value"":""unknown"",""count"":146}]",960,5,"[{""value"":""boleChange"",""count"":1},{""value"":""branchGrowth"",""count"":1},{""value"":""damage"",""count"":1},{""value"":""deformityGrowth"",""count"":2}]"
